Título,Género,Duración (min),Plataforma,Tu calificación
Stranger Things,Sci-Fi,50,Netflix,5
The Office,Comedia,22,Prime Video,4
The Crown,Drama,55,Netflix,4
Breaking Bad,Drama,49,Netflix,5
Friends,Comedia,22,HBO Max,4
Game of Thrones,Fantasia,57,HBO Max,5
The Big Bang Theory,Comedia,22,HBO Max,4
Grey's Anatomy,Drama,43,Netflix,3
Vikings,Drama,45,Netflix,4
The Handmaid's Tale,Drama,50,Hulu,4
Better Call Saul,Drama,46,Netflix,5
Peaky Blinders,Drama,45,Netflix,4
The Queen's Gambit,Drama,60,Netflix,5
You,Drama,45,Netflix,3
Emily in Paris,Comedia,30,Netflix,4
